QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,WR,Corey Coleman (7581954),Corey Coleman,7581954,4500,Cle@Ten 01:00PM ET,Cle,
,,,,,,,,,,RB,Rashad Jennings (7581871),Rashad Jennings,7581871,4500,Bal@NYG 01:00PM ET,NYG,
,,,,,,,,,,TE,Martellus Bennett (7582083),Martellus Bennett,7582083,4500,Cin@NE 01:00PM ET,NE,
,,,,,,,,,,RB,Darren Sproles (7581856),Darren Sproles,7581856,4400,Phi@Was 01:00PM ET,Phi,
,,,,,,,,,,WR,Jamison Crowder (7581941),Jamison Crowder,7581941,4400,Phi@Was 01:00PM ET,Was,
,,,,,,,,,,RB,T.J. Yeldon (7581895),T.J. Yeldon,7581895,4400,Jax@Chi 01:00PM ET,Jax,
,,,,,,,,,,WR,Golden Tate (7581995),Golden Tate,7581995,4400,LA@Det 01:00PM ET,Det,
,,,,,,,,,,TE,Dennis Pitta (7582046),Dennis Pitta,7582046,4300,Bal@NYG 01:00PM ET,Bal,
,,,,,,,,,,RB,Fozzy Whittaker (7581883),Fozzy Whittaker,7581883,4300,Car@NO 01:00PM ET,Car,
,,,,,,,,,,WR,Michael Thomas (7581978),Michael Thomas,7581978,4300,Car@NO 01:00PM ET,NO,
,,,,,,,,,,WR,Robert Woods (7581931),Robert Woods,7581931,4200,SF@Buf 01:00PM ET,Buf,
,,,,,,,,,,WR,Victor Cruz (7581959),Victor Cruz,7581959,4200,Bal@NYG 01:00PM ET,NYG,
,,,,,,,,,,TE,Julius Thomas (7582063),Julius Thomas,7582063,4200,Jax@Chi 01:00PM ET,Jax,
,,,,,,,,,,WR,Tajae Sharpe (7581955),Tajae Sharpe,7581955,4100,Cle@Ten 01:00PM ET,Ten,
,,,,,,,,,,WR,Cameron Meredith (7581987),Cameron Meredith,7581987,4100,Jax@Chi 01:00PM ET,Chi,
,,,,,,,,,,RB,James White (7581920),James White,7581920,4100,Cin@NE 01:00PM ET,NE,
,,,,,,,,,,TE,Tyler Eifert (7582087),Tyler Eifert,7582087,4100,Cin@NE 01:00PM ET,Cin,
,,,,,,,,,,WR,Jeremy Kerley (7581925),Jeremy Kerley,7581925,4000,SF@Buf 01:00PM ET,SF,
,,,,,,,,,,RB,Matt Jones (7581861),Matt Jones,7581861,4000,Phi@Was 01:00PM ET,Was,
,,,,,,,,,,TE,Zach Ertz (7582034),Zach Ertz,7582034,4000,Phi@Was 01:00PM ET,Phi,
,,,,,,,,,,WR,Eddie Royal (7581980),Eddie Royal,7581980,4000,Jax@Chi 01:00PM ET,Chi,
,,,,,,,,,,RB,Jeremy Hill (7581921),Jeremy Hill,7581921,4000,Cin@NE 01:00PM ET,Cin,
,,,,,,,,,,RB,Duke Johnson Jr. (7581869),Duke Johnson Jr.,7581869,3900,Cle@Ten 01:00PM ET,Cle,
,,,,,,,,,,WR,Ted Ginn Jr. (7581969),Ted Ginn Jr.,7581969,3900,Car@NO 01:00PM ET,Car,
,,,,,,,,,,WR,Anquan Boldin (7581991),Anquan Boldin,7581991,3900,LA@Det 01:00PM ET,Det,
,,,,,,,,,,WR,Tavon Austin (7581997),Tavon Austin,7581997,3900,LA@Det 01:00PM ET,LA,
,,,,,,,,,,WR,Pierre Garcon (7581935),Pierre Garcon,7581935,3800,Phi@Was 01:00PM ET,Was,
,,,,,,,,,,WR,Devin Funchess (7581979),Devin Funchess,7581979,3800,Car@NO 01:00PM ET,Car,
,,,,,,,,,,RB,Jeremy Langford (7581893),Jeremy Langford,7581893,3800,Jax@Chi 01:00PM ET,Chi,
,,,,,,,,,,TE,Zach Miller (7582060),Zach Miller,7582060,3800,Jax@Chi 01:00PM ET,Chi,
,,,,,,,,,,DST,Bills  (7582334),Bills ,7582334,3700,SF@Buf 01:00PM ET,Buf,
,,,,,,,,,,RB,Orleans Darkwa (7581874),Orleans Darkwa,7581874,3700,Bal@NYG 01:00PM ET,NYG,
,,,,,,,,,,RB,Cameron Artis-Payne (7581888),Cameron Artis-Payne,7581888,3700,Car@NO 01:00PM ET,Car,
,,,,,,,,,,WR,Kenny Britt (7581993),Kenny Britt,7581993,3700,LA@Det 01:00PM ET,LA,
,,,,,,,,,,WR,Danny Amendola (7582013),Danny Amendola,7582013,3700,Cin@NE 01:00PM ET,NE,
,,,,,,,,,,WR,Corey Brown (7581972),Corey Brown,7581972,3600,Car@NO 01:00PM ET,Car,
,,,,,,,,,,WR,Markus Wheaton (7582004),Markus Wheaton,7582004,3600,Pit@Mia 01:00PM ET,Pit,
,,,,,,,,,,WR,Nelson Agholor (7581944),Nelson Agholor,7581944,3500,Phi@Was 01:00PM ET,Phi,
,,,,,,,,,,TE,Coby Fleener (7582055),Coby Fleener,7582055,3500,Car@NO 01:00PM ET,NO,
,,,,,,,,,,RB,Chris Ivory (7581889),Chris Ivory,7581889,3500,Jax@Chi 01:00PM ET,Jax,
,,,,,,,,,,RB,Dwayne Washington (7581905),Dwayne Washington,7581905,3500,LA@Det 01:00PM ET,Det,
,,,,,,,,,,RB,Jay Ajayi (7581912),Jay Ajayi,7581912,3500,Pit@Mia 01:00PM ET,Mia,
,,,,,,,,,,RB,Derrick Henry (7581870),Derrick Henry,7581870,3400,Cle@Ten 01:00PM ET,Ten,
,,,,,,,,,,WR,Rishard Matthews (7581951),Rishard Matthews,7581951,3400,Cle@Ten 01:00PM ET,Ten,
,,,,,,,,,,TE,Eric Ebron (7582071),Eric Ebron,7582071,3400,LA@Det 01:00PM ET,Det,
,,,,,,,,,,DST,Steelers  (7582349),Steelers ,7582349,3400,Pit@Mia 01:00PM ET,Pit,
,,,,,,,,,,WR,Torrey Smith (7581924),Torrey Smith,7581924,3300,SF@Buf 01:00PM ET,SF,
,,,,,,,,,,WR,Andre Johnson (7581945),Andre Johnson,7581945,3300,Cle@Ten 01:00PM ET,Ten,
,,,,,,,,,,TE,Gary Barnidge (7582039),Gary Barnidge,7582039,3300,Cle@Ten 01:00PM ET,Cle,
,,,,,,,,,,DST,Titans  (7582339),Titans ,7582339,3300,Cle@Ten 01:00PM ET,Ten,
,,,,,,,,,,RB,Bobby Rainey (7581872),Bobby Rainey,7581872,3300,Bal@NYG 01:00PM ET,NYG,
,,,,,,,,,,RB,Paul Perkins (7581877),Paul Perkins,7581877,3300,Bal@NYG 01:00PM ET,NYG,
,,,,,,,,,,RB,Kenneth Dixon (7581878),Kenneth Dixon,7581878,3300,Bal@NYG 01:00PM ET,Bal,
,,,,,,,,,,WR,Kenny Stills (7582005),Kenny Stills,7582005,3300,Pit@Mia 01:00PM ET,Mia,
,,,,,,,,,,RB,Chris Thompson (7581859),Chris Thompson,7581859,3200,Phi@Was 01:00PM ET,Was,
,,,,,,,,,,RB,Wendell Smallwood (7581862),Wendell Smallwood,7581862,3200,Phi@Was 01:00PM ET,Phi,
,,,,,,,,,,WR,Dorial Green-Beckham (7581942),Dorial Green-Beckham,7581942,3200,Phi@Was 01:00PM ET,Phi,
,,,,,,,,,,WR,Brian Quick (7581994),Brian Quick,7581994,3200,LA@Det 01:00PM ET,LA,
,,,,,,,,,,WR,Brandon LaFell (7582014),Brandon LaFell,7582014,3200,Cin@NE 01:00PM ET,Cin,
,,,,,,,,,,DST,Patriots  (7582351),Patriots ,7582351,3200,Cin@NE 01:00PM ET,NE,
,,,,,,,,,,DST,Eagles  (7582336),Eagles ,7582336,3100,Phi@Was 01:00PM ET,Phi,
,,,,,,,,,,WR,Andrew Hawkins (7581947),Andrew Hawkins,7581947,3100,Cle@Ten 01:00PM ET,Cle,
,,,,,,,,,,RB,Tim Hightower (7581879),Tim Hightower,7581879,3100,Car@NO 01:00PM ET,NO,
,,,,,,,,,,RB,John Kuhn (7581881),John Kuhn,7581881,3100,Car@NO 01:00PM ET,NO,
,,,,,,,,,,WR,Marqise Lee (7581988),Marqise Lee,7581988,3100,Jax@Chi 01:00PM ET,Jax,
,,,,,,,,,,RB,Reggie Bush (7581848),Reggie Bush,7581848,3000,SF@Buf 01:00PM ET,Buf,
,,,,,,,,,,RB,Jerome Felton (7581849),Jerome Felton,7581849,3000,SF@Buf 01:00PM ET,Buf,
,,,,,,,,,,RB,Shaun Draughn (7581850),Shaun Draughn,7581850,3000,SF@Buf 01:00PM ET,SF,
,,,,,,,,,,RB,Mike Gillislee (7581852),Mike Gillislee,7581852,3000,SF@Buf 01:00PM ET,Buf,
,,,,,,,,,,RB,Jonathan Williams (7581854),Jonathan Williams,7581854,3000,SF@Buf 01:00PM ET,Buf,
,,,,,,,,,,RB,Mike Davis (7581855),Mike Davis,7581855,3000,SF@Buf 01:00PM ET,SF,
,,,,,,,,,,WR,Brandon Tate (7581923),Brandon Tate,7581923,3000,SF@Buf 01:00PM ET,Buf,
,,,,,,,,,,WR,Keshawn Martin (7581926),Keshawn Martin,7581926,3000,SF@Buf 01:00PM ET,SF,
,,,,,,,,,,WR,Marquise Goodwin (7581927),Marquise Goodwin,7581927,3000,SF@Buf 01:00PM ET,Buf,
,,,,,,,,,,WR,Justin Hunter (7581928),Justin Hunter,7581928,3000,SF@Buf 01:00PM ET,Buf,
,,,,,,,,,,WR,Rod Streater (7581929),Rod Streater,7581929,3000,SF@Buf 01:00PM ET,SF,
,,,,,,,,,,WR,Walt Powell (7581930),Walt Powell,7581930,3000,SF@Buf 01:00PM ET,Buf,
,,,,,,,,,,WR,Quinton Patton (7581932),Quinton Patton,7581932,3000,SF@Buf 01:00PM ET,SF,
,,,,,,,,,,WR,Aaron Burbridge (7581933),Aaron Burbridge,7581933,3000,SF@Buf 01:00PM ET,SF,
,,,,,,,,,,RB,Kenjon Barner (7581858),Kenjon Barner,7581858,3000,Phi@Was 01:00PM ET,Phi,
,,,,,,,,,,RB,Rob Kelley (7581860),Rob Kelley,7581860,3000,Phi@Was 01:00PM ET,Was,
,,,,,,,,,,WR,Ryan Grant (7581936),Ryan Grant,7581936,3000,Phi@Was 01:00PM ET,Was,
,,,,,,,,,,WR,Josh Huff (7581938),Josh Huff,7581938,3000,Phi@Was 01:00PM ET,Phi,
,,,,,,,,,,WR,Josh Doctson (7581939),Josh Doctson,7581939,3000,Phi@Was 01:00PM ET,Was,
,,,,,,,,,,WR,Rashad Ross (7581940),Rashad Ross,7581940,3000,Phi@Was 01:00PM ET,Was,
,,,,,,,,,,WR,Bryce Treggs (7581943),Bryce Treggs,7581943,3000,Phi@Was 01:00PM ET,Phi,
,,,,,,,,,,RB,Jalston Fowler (7581864),Jalston Fowler,7581864,3000,Cle@Ten 01:00PM ET,Ten,
,,,,,,,,,,RB,Malcolm Johnson (7581865),Malcolm Johnson,7581865,3000,Cle@Ten 01:00PM ET,Cle,
,,,,,,,,,,RB,Antonio Andrews (7581866),Antonio Andrews,7581866,3000,Cle@Ten 01:00PM ET,Ten,
,,,,,,,,,,RB,George Atkinson III (7581868),George Atkinson III,7581868,3000,Cle@Ten 01:00PM ET,Cle,
,,,,,,,,,,WR,Harry Douglas (7581946),Harry Douglas,7581946,3000,Cle@Ten 01:00PM ET,Ten,
,,,,,,,,,,WR,Marc Mariani (7581948),Marc Mariani,7581948,3000,Cle@Ten 01:00PM ET,Ten,
,,,,,,,,,,WR,Kendall Wright (7581950),Kendall Wright,7581950,3000,Cle@Ten 01:00PM ET,Ten,
,,,,,,,,,,WR,Jordan Payton (7581952),Jordan Payton,7581952,3000,Cle@Ten 01:00PM ET,Cle,
,,,,,,,,,,WR,Ricardo Louis (7581953),Ricardo Louis,7581953,3000,Cle@Ten 01:00PM ET,Cle,
,,,,,,,,,,WR,Rashard Higgins (7581956),Rashard Higgins,7581956,3000,Cle@Ten 01:00PM ET,Cle,
,,,,,,,,,,RB,Kyle Juszczyk (7581873),Kyle Juszczyk,7581873,3000,Bal@NYG 01:00PM ET,Bal,
,,,,,,,,,,RB,Javorius Allen (7581876),Javorius Allen,7581876,3000,Bal@NYG 01:00PM ET,Bal,
,,,,,,,,,,WR,Devin Hester (7581958),Devin Hester,7581958,3000,Bal@NYG 01:00PM ET,Bal,
,,,,,,,,,,WR,Dwayne Harris (7581960),Dwayne Harris,7581960,3000,Bal@NYG 01:00PM ET,NYG,
,,,,,,,,,,WR,Kamar Aiken (7581962),Kamar Aiken,7581962,3000,Bal@NYG 01:00PM ET,Bal,
,,,,,,,,,,WR,Tavarres King (7581963),Tavarres King,7581963,3000,Bal@NYG 01:00PM ET,NYG,
,,,,,,,,,,WR,Chris Moore (7581965),Chris Moore,7581965,3000,Bal@NYG 01:00PM ET,Bal,
,,,,,,,,,,WR,Breshad Perriman (7581966),Breshad Perriman,7581966,3000,Bal@NYG 01:00PM ET,Bal,
,,,,,,,,,,WR,Roger Lewis (7581968),Roger Lewis,7581968,3000,Bal@NYG 01:00PM ET,NYG,
,,,,,,,,,,DST,Giants  (7582340),Giants ,7582340,3000,Bal@NYG 01:00PM ET,NYG,
,,,,,,,,,,RB,Mike Tolbert (7581880),Mike Tolbert,7581880,3000,Car@NO 01:00PM ET,Car,
,,,,,,,,,,RB,Travaris Cadet (7581884),Travaris Cadet,7581884,3000,Car@NO 01:00PM ET,NO,
,,,,,,,,,,RB,Marcus Murphy (7581886),Marcus Murphy,7581886,3000,Car@NO 01:00PM ET,NO,
,,,,,,,,,,RB,Daniel Lasco (7581887),Daniel Lasco,7581887,3000,Car@NO 01:00PM ET,NO,
,,,,,,,,,,WR,Brenton Bersin (7581970),Brenton Bersin,7581970,3000,Car@NO 01:00PM ET,Car,
,,,,,,,,,,WR,Brandon Coleman (7581971),Brandon Coleman,7581971,3000,Car@NO 01:00PM ET,NO,
,,,,,,,,,,WR,Damiere Byrd (7581974),Damiere Byrd,7581974,3000,Car@NO 01:00PM ET,Car,
,,,,,,,,,,WR,Tommylee Lewis (7581977),Tommylee Lewis,7581977,3000,Car@NO 01:00PM ET,NO,
,,,,,,,,,,RB,Joique Bell (7581890),Joique Bell,7581890,3000,Jax@Chi 01:00PM ET,Chi,
