QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,RB,Tim Hightower (7530903),Tim Hightower,7530903,3300,NO@SD 04:25PM ET,NO,
,,,,,,,,,,WR,Dontrelle Inman (7530966),Dontrelle Inman,7530966,3300,NO@SD 04:25PM ET,SD,
,,,,,,,,,,RB,Shaun Draughn (7530913),Shaun Draughn,7530913,3300,Dal@SF 04:25PM ET,SF,
,,,,,,,,,,RB,Matt Asiata (7530934),Matt Asiata,7530934,3300,NYG@Min 08:30PM ET,Min,
,,,,,,,,,,RB,Andre Ellington (7530897),Andre Ellington,7530897,3200,LA@Ari 04:25PM ET,Ari,
,,,,,,,,,,RB,Benny Cunningham (7530898),Benny Cunningham,7530898,3200,LA@Ari 04:25PM ET,LA,
,,,,,,,,,,TE,Coby Fleener (7531025),Coby Fleener,7531025,3200,NO@SD 04:25PM ET,NO,
,,,,,,,,,,RB,Travaris Cadet (7530906),Travaris Cadet,7530906,3100,NO@SD 04:25PM ET,NO,
,,,,,,,,,,WR,Terrance Williams (7530979),Terrance Williams,7530979,3100,Dal@SF 04:25PM ET,Dal,
,,,,,,,,,,TE,Jesse James (7531044),Jesse James,7531044,3100,KC@Pit 08:30PM ET,Pit,
,,,,,,,,,,WR,Adam Thielen (7531005),Adam Thielen,7531005,3100,NYG@Min 08:30PM ET,Min,
,,,,,,,,,,RB,Jacquizz Rodgers (7530888),Jacquizz Rodgers,7530888,3000,Den@TB 04:05PM ET,TB,
,,,,,,,,,,RB,Kapri Bibbs (7530890),Kapri Bibbs,7530890,3000,Den@TB 04:05PM ET,Den,
,,,,,,,,,,RB,Andy Janovich (7530892),Andy Janovich,7530892,3000,Den@TB 04:05PM ET,Den,
,,,,,,,,,,RB,Devontae Booker (7530893),Devontae Booker,7530893,3000,Den@TB 04:05PM ET,Den,
,,,,,,,,,,RB,Peyton Barber (7530894),Peyton Barber,7530894,3000,Den@TB 04:05PM ET,TB,
,,,,,,,,,,WR,Jordan Norwood (7530943),Jordan Norwood,7530943,3000,Den@TB 04:05PM ET,Den,
