QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,WR,Tajae Sharpe (7467129),Tajae Sharpe,7467129,4700,Oak@Ten 01:00PM ET,Ten,
,,,,,,,,,,WR,Victor Cruz (7467132),Victor Cruz,7467132,4700,Was@NYG 01:00PM ET,NYG,
,,,,,,,,,,RB,Isaiah Crowell (7467073),Isaiah Crowell,7467073,4700,Cle@Mia 01:00PM ET,Cle,
,,,,,,,,,,TE,Julius Thomas (7467232),Julius Thomas,7467232,4600,Bal@Jax 01:00PM ET,Jax,
,,,,,,,,,,RB,Ameer Abdullah (7467092),Ameer Abdullah,7467092,4600,Det@GB 01:00PM ET,Det,
,,,,,,,,,,TE,Tyler Eifert (7467248),Tyler Eifert,7467248,4500,Den@Cin 01:00PM ET,Cin,
,,,,,,,,,,RB,Giovani Bernard (7467096),Giovani Bernard,7467096,4300,Den@Cin 01:00PM ET,Cin,
,,,,,,,,,,RB,Duke Johnson Jr. (7467076),Duke Johnson Jr.,7467076,4200,Cle@Mia 01:00PM ET,Cle,
,,,,,,,,,,WR,Anquan Boldin (7467168),Anquan Boldin,7467168,4200,Det@GB 01:00PM ET,Det,
,,,,,,,,,,RB,Matt Jones (7467068),Matt Jones,7467068,4100,Was@NYG 01:00PM ET,Was,
,,,,,,,,,,WR,Steve Smith Sr. (7467156),Steve Smith Sr.,7467156,4100,Bal@Jax 01:00PM ET,Bal,
,,,,,,,,,,WR,Davante Adams (7467176),Davante Adams,7467176,4100,Det@GB 01:00PM ET,GB,
,,,,,,,,,,WR,Devin Funchess (7467200),Devin Funchess,7467200,4100,Min@Car 01:00PM ET,Car,
,,,,,,,,,,RB,Jay Ajayi (7467072),Jay Ajayi,7467072,4000,Cle@Mia 01:00PM ET,Mia,
,,,,,,,,,,TE,Gary Barnidge (7467223),Gary Barnidge,7467223,4000,Cle@Mia 01:00PM ET,Cle,
,,,,,,,,,,RB,James Starks (7467087),James Starks,7467087,4000,Det@GB 01:00PM ET,GB,
,,,,,,,,,,WR,Pierre Garcon (7467135),Pierre Garcon,7467135,3900,Was@NYG 01:00PM ET,Was,
,,,,,,,,,,RB,Justin Forsett (7467078),Justin Forsett,7467078,3900,Bal@Jax 01:00PM ET,Bal,
,,,,,,,,,,RB,Chris Ivory (7467079),Chris Ivory,7467079,3900,Bal@Jax 01:00PM ET,Jax,
,,,,,,,,,,WR,Jamison Crowder (7467141),Jamison Crowder,7467141,3800,Was@NYG 01:00PM ET,Was,
,,,,,,,,,,RB,Fozzy Whittaker (7467105),Fozzy Whittaker,7467105,3800,Min@Car 01:00PM ET,Car,
,,,,,,,,,,RB,Jerick McKinnon (7467108),Jerick McKinnon,7467108,3800,Min@Car 01:00PM ET,Min,
,,,,,,,,,,DST,Panthers  (7467492),Panthers ,7467492,3800,Min@Car 01:00PM ET,Car,
,,,,,,,,,,RB,Derrick Henry (7467060),Derrick Henry,7467060,3700,Oak@Ten 01:00PM ET,Ten,
